#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B18F1D
#Date Time: 2026-07-09 18:24:37.217
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.0839107142857143,-0.002084393710711643,0.001847747084286927
-0.08388571428571429,-0.00208439371071149,0.001512387551614082
-0.08386071428571429,-0.001748429273838797,0.001512387551614082
-0.08383571428571429,-0.002084393710711643,0.001847747084286927
-0.08381071428571429,-0.002420358147584488,0.001512387551614082
-0.0837857142857143,-0.002084393710711643,0.001847747084286927
-0.08376071428571429,-0.002084393710711643,0.001512387551614387
-0.08373571428571429,-0.002084393710711643,0.002183106616959771
-0.08371071428571429,-0.002084393710711643,0.001847747084286927
-0.08368571428571429,-0.002084393710711643,0.001512387551614082
-0.0836607142857143,-0.002084393710711643,0.002183106616959771
-0.08363571428571429,-0.002420358147584488,0.001512387551614234
-0.08361071428571429,-0.002420358147584488,0.001847747084286927
-0.08358571428571429,-0.002084393710711643,0.001512387551614082
-0.08356071428571429,-0.002084393710711643,0.001512387551614082
-0.0835357142857143,-0.002084393710711643,0.001177028018941237
-0.08351071428571429,-0.002084393710711643,0.001512387551614234
-0.08348571428571429,-0.002084393710711643,0.001847747084286927
-0.08346071428571429,-0.002084393710711643,0.001512387551614082
-0.08343571428571429,-0.002084393710711643,0.001847747084286927
-0.0834107142857143,-0.002084393710711643,0.001847747084286927
-0.08338571428571429,-0.002420358147584335,0.001847747084286927
-0.08336071428571429,-0.002084393710711643,0.001847747084286927
-0.08333571428571429,-0.002420358147584488,0.001847747084286927
-0.08331071428571429,-0.002420358147584488,0.002183106616959771
-0.0832857142857143,-0.002420358147584488,0.001512387551614082
-0.08326071428571429,-0.002084393710711643,0.001847747084286774
-0.08323571428571429,-0.002084393710711643,0.001512387551614082
-0.08321071428571429,-0.002084393710711643,0.002183106616959771
-0.08318571428571429,-0.002084393710711643,0.001847747084286927
-0.0831607142857143,-0.002084393710711643,0.001512387551614082
-0.08313571428571429,-0.002084393710711643,0.001847747084286622
-0.08311071428571429,-0.002084393710711643,0.001177028018941237
-0.08308571428571429,-0.002084393710711643,0.001847747084286927
-0.08306071428571429,-0.002084393710711643,0.001177028018941237
-0.0830357142857143,-0.002084393710711643,0.001512387551614082
-0.0830107142857143,-0.002084393710711643,0.001512387551614082
-0.08298571428571429,-0.002084393710711643,0.001512387551614082
-0.08296071428571429,-0.002084393710711643,0.001847747084286927
-0.08293571428571429,-0.002084393710711643,0.001177028018941237
-0.0829107142857143,-0.002084393710711643,0.001177028018941237
-0.0828857142857143,-0.002084393710711643,-0.000835129177094916
-0.08286071428571429,-0.002084393710711643,-0.001170488709768676
-0.08283571428571429,-0.002084393710711643,-0.001170488709768676
-0.08281071428571429,-0.002084393710711643,-0.001170488709768676
-0.0827857142857143,-0.002084393710711643,-0.000835129177095831
-0.0827607142857143,-0.002420358147584335,-0.001170488709768523
-0.08273571428571429,-0.002420358147584488,-0.000835129177095831
-0.08271071428571429,-0.002084393710711643,-0.001170488709768676
-0.08268571428571429,-0.002420358147584488,0.0005063089535955478
-0.0826607142857143,-0.002420358147584488,0.0008416684862683925
-0.0826357142857143,-0.002084393710711795,0.001177028018941085
-0.08261071428571429,-0.002084393710711643,0.001512387551614082
-0.08258571428571429,-0.002084393710711643,0.001177028018941237
-0.08256071428571429,-0.002084393710711643,0.001177028018941237
-0.0825357142857143,-0.002084393710711643,0.0008416684862683925
-0.0825107142857143,-0.002084393710711643,0.001512387551613777
-0.08248571428571429,-0.002084393710711643,0.001512387551614082
-0.08246071428571429,-0.002084393710711643,0.001512387551614082
-0.08243571428571429,-0.002084393710711643,0.001512387551614082
-0.0824107142857143,-0.002084393710711643,0.000170949420922703
-0.0823857142857143,-0.002084393710711643,-0.0001644101117499892
-0.08236071428571429,-0.002084393710711643,-0.000835129177095831
-0.08233571428571429,-0.002420358147584488,-0.0004997696444229864
-0.08231071428571429,-0.002084393710711643,-0.001170488709768676
-0.0822857142857143,-0.002420358147584488,-0.000835129177095831
-0.0822607142857143,-0.002084393710711795,-0.0004997696444231389
-0.08223571428571429,-0.002420358147584488,-0.000835129177095831
-0.08221071428571429,-0.002420358147584488,0.0008416684862683925
-0.08218571428571429,-0.002084393710711643,0.001847747084286927
-0.0821607142857143,-0.002420358147584488,0.00352454474765115
-0.0821357142857143,-0.002084393710711795,0.003189185214978458
-0.08211071428571429,-0.002084393710711643,0.003859904280323995
-0.08208571428571429,-0.002084393710711643,0.004195263812996839
-0.08206071428571429,-0.002420358147584488,0.004530623345669684
-0.0820357142857143,-0.002420358147584488,0.005201342411015374
-0.0820107142857143,-0.002084393710711795,0.004195263812997297
-0.08198571428571429,-0.002420358147584488,0.002518466149632616
-0.08196071428571429,-0.002420358147584488,0.001177028018941237
-0.08193571428571429,-0.002420358147584488,0.0008416684862683925
-0.0819107142857143,-0.002420358147584488,0.000170949420922703
-0.0818857142857143,-0.002084393710711795,0.000170949420922703
-0.08186071428571429,-0.002420358147584488,0.000170949420922703
-0.08183571428571429,-0.002420358147584488,-0.0001644101117501417
-0.08181071428571429,-0.002420358147584488,-0.0004997696444229864
-0.08178571428571429,-0.002420358147584488,-0.000835129177095831
-0.0817607142857143,-0.002420358147584488,-0.000835129177095831
-0.08173571428571429,-0.002420358147584488,-0.001170488709768676
-0.08171071428571429,-0.002084393710711643,-0.001170488709768676
-0.08168571428571429,-0.002084393710711643,-0.000835129177095831
-0.08166071428571429,-0.002420358147584488,-0.001170488709768676
-0.0816357142857143,-0.002084393710711643,-0.0004997696444229864
-0.08161071428571429,-0.002084393710711643,-0.0004997696444229864
-0.08158571428571429,-0.002084393710711643,-0.0001644101117501417
-0.08156071428571429,-0.002084393710711643,-0.0004997696444229864
-0.08153571428571429,-0.002084393710711643,-0.0001644101117501417
-0.0815107142857143,-0.002084393710711643,0.0008416684862683925
-0.08148571428571429,-0.002084393710711643,0.001177028018941237
-0.08146071428571429,-0.002420358147584488,0.001512387551614082
-0.08143571428571429,-0.002084393710711643,0.001512387551614082
-0.08141071428571429,-0.002084393710711643,0.002183106616959771
-0.0813857142857143,-0.002084393710711643,0.002183106616959771
-0.08136071428571429,-0.002084393710711643,0.001847747084286927
-0.08133571428571429,-0.002084393710711643,0.002183106616959771
-0.08131071428571429,-0.002084393710711643,0.001847747084286927
-0.08128571428571429,-0.002084393710711643,0.002183106616959771
-0.0812607142857143,-0.002084393710711643,0.001847747084286927
-0.08123571428571429,-0.00174842927383895,0.001847747084286927
-0.08121071428571429,-0.002084393710711643,0.001847747084286927
-0.08118571428571429,-0.002084393710711643,0.001512387551614082
-0.08116071428571429,-0.002084393710711643,0.001847747084286927
-0.0811357142857143,-0.002084393710711643,0.001847747084286927
-0.08111071428571429,-0.002084393710711643,0.001847747084286927
-0.08108571428571429,-0.002084393710711643,0.001847747084286927
-0.08106071428571429,-0.001748429273838797,0.001847747084286927
-0.08103571428571429,-0.002084393710711643,0.001847747084286927
-0.0810107142857143,-0.001748429273838797,0.001847747084286927
-0.08098571428571429,-0.002084393710711643,0.002183106616959619
-0.08096071428571429,-0.002084393710711643,0.001847747084286927
-0.08093571428571429,-0.002084393710711643,0.001847747084286927
-0.08091071428571429,-0.001748429273838797,0.001512387551614082
-0.0808857142857143,-0.002084393710711643,0.0008416684862683925
-0.08086071428571429,-0.002420358147584182,0.0008416684862683925
-0.08083571428571429,-0.001748429273838797,0.0008416684862683925
-0.08081071428571429,-0.002084393710711643,0.001512387551614082
-0.08078571428571429,-0.002084393710711643,0.001512387551614082
-0.0807607142857143,-0.002084393710711643,0.001847747084286927
-0.08073571428571429,-0.002084393710711643,0.001512387551614082
-0.08071071428571429,-0.002084393710711643,0.001512387551614082
-0.08068571428571429,-0.001748429273838797,0.001847747084286927
-0.08066071428571429,-0.002420358147584488,0.001512387551614082
-0.0806357142857143,-0.002084393710711643,0.001512387551614082
-0.08061071428571429,-0.002084393710711643,0.00117702801894139
-0.08058571428571429,-0.002084393710711643,0.001512387551614082
-0.08056071428571429,-0.001748429273838797,0.001512387551614082
-0.08053571428571429,-0.002084393710711643,0.001512387551614082
-0.0805107142857143,-0.002084393710711643,0.002183106616959771
-0.08048571428571429,-0.00174842927383895,0.002183106616959924
-0.08046071428571429,-0.002084393710711643,0.002518466149632616
-0.08043571428571429,-0.002084393710711643,0.002183106616959771
-0.08041071428571429,-0.002084393710711643,0.002853825682305461
-0.0803857142857143,-0.002084393710711643,0.002518466149632616
-0.08036071428571429,-0.002420358147584335,0.002518466149632769
-0.08033571428571429,-0.002084393710711643,0.002853825682305461
-0.08031071428571429,-0.002084393710711643,0.002183106616959771
-0.08028571428571429,-0.002084393710711643,0.003189185214978305
-0.0802607142857143,-0.002084393710711643,0.002518466149632616
-0.08023571428571429,-0.00208439371071149,0.002853825682305461
-0.08021071428571429,-0.001748429273838797,0.002853825682305461
-0.08018571428571429,-0.002084393710711643,0.002853825682305461
-0.08016071428571429,-0.002084393710711643,0.003189185214978305
-0.0801357142857143,-0.002084393710711643,0.002853825682305461
-0.08011071428571429,-0.002084393710711643,0.002853825682305461
-0.08008571428571429,-0.002084393710711643,0.002853825682305461
-0.08006071428571429,-0.002084393710711643,0.002853825682305461
-0.08003571428571429,-0.002084393710711643,0.002518466149632616
-0.0800107142857143,-0.002084393710711643,0.002518466149632616
-0.07998571428571428,-0.001748429273838797,0.002853825682305156
-0.07996071428571429,-0.001748429273838797,0.002183106616959771
-0.07993571428571429,-0.001748429273838797,0.002183106616959771
-0.07991071428571429,-0.001748429273838797,0.001847747084286927
-0.0798857142857143,-0.001412464836965952,0.002183106616959771
-0.0798607142857143,-0.001748429273838645,0.001847747084287079
-0.07983571428571429,-0.001412464836965952,0.002183106616959771
-0.07981071428571429,-0.001748429273838797,0.001847747084286927
-0.07978571428571429,-0.001748429273838797,0.001847747084286927
-0.0797607142857143,-0.002084393710711643,0.001847747084286927
-0.0797357142857143,-0.002084393710711643,0.002183106616959619
-0.07971071428571429,-0.001748429273838797,0.002183106616959771
-0.07968571428571429,-0.002084393710711643,0.001847747084286927
-0.07966071428571429,-0.002084393710711643,0.001847747084286927
-0.0796357142857143,-0.002084393710711643,0.002183106616959771
-0.0796107142857143,-0.002084393710711643,0.001847747084287079
-0.07958571428571429,-0.002084393710711643,0.002183106616959771
-0.07956071428571429,-0.001748429273838797,0.0008416684862683925
-0.07953571428571429,-0.002084393710711643,0.001512387551614082
-0.0795107142857143,-0.002084393710711643,0.001847747084286927
-0.0794857142857143,-0.002084393710711643,0.001847747084286927
-0.07946071428571429,-0.002420358147584488,0.001847747084286927
-0.07943571428571429,-0.001748429273838797,0.001177028018941237
-0.07941071428571429,-0.002084393710711643,0.001847747084286927
-0.0793857142857143,-0.002084393710711643,0.001847747084286927
-0.0793607142857143,-0.002084393710711643,0.002183106616959619
-0.07933571428571429,-0.002084393710711643,0.001847747084286927
