#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B18F1D
#Date Time: 2026-07-09 18:19:41.139
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.6325318825910932,-0.0007405359632202621,0.003859904280323995
-0.6324068825910931,-0.00208439371071149,0.003524544747651608
-0.6322818825910932,-0.00174842927383895,0.004530623345669227
-0.6321568825910931,-0.0007405359632202621,0.004865982878342529
-0.6320318825910931,-6.860708947350243e-05,0.004530623345669684
-0.6319068825910932,0.002283143968635344,0.004530623345669684
-0.6317818825910931,0.00396296615299957,0.004530623345669684
-0.6316568825910932,0.001947179531763416,0.004530623345669684
-0.6315318825910932,-6.860708947457189e-05,0.004530623345669684
-0.6314068825910931,-0.0007405359632199566,0.004865982878342682
-0.6312818825910932,-6.860708947487742e-05,0.005201342411015221
-0.6311568825910931,0.0009392862211439635,0.005536701943688218
-0.6310318825910931,0.000267357347398426,0.005536701943687913
-0.6309068825910932,0.0006033217842711183,0.004865982878342529
-0.6307818825910931,0.0006033217842711183,0.004865982878342529
-0.6306568825910932,-0.001748429273837728,0.004865982878342529
-0.6305318825910932,-0.001412464836965952,0.004530623345669684
-0.6304068825910931,-0.002084393710712101,0.004865982878342377
-0.6302818825910932,-0.003092287021329719,0.004530623345669837
-0.6301568825910931,-0.002420358147584488,0.004530623345669684
-0.6300318825910931,-0.002084393710711795,0.004530623345669531
-0.6299068825910932,-0.002420358147584488,0.004195263812996839
-0.6297818825910931,-0.002756322584457333,0.004195263812996839
-0.6296568825910932,-0.003092287021330025,0.004530623345669531
-0.6295318825910932,-0.002084393710711643,0.004865982878342529
-0.6294068825910931,-0.001748429273839408,0.005201342411015221
-0.6292818825910932,-0.003092287021329567,0.004865982878342682
-0.6291568825910931,-0.002420358147584488,0.004865982878342529
-0.6290318825910931,-0.003092287021330789,0.004865982878342529
-0.6289068825910932,-0.004436144768821558,0.004865982878342529
-0.6287818825910931,-0.003428251458203023,0.004865982878342529
-0.6286568825910932,-0.001748429273839561,0.004865982878342529
-0.6285318825910932,-0.002420358147584488,0.003859904280323995
-0.6284068825910931,-0.001412464836966869,0.003189185214979068
-0.6282818825910932,-0.003428251458202106,0.004865982878341767
-0.6281568825910931,-0.004100180331948713,0.004530623345669684
-0.6280318825910931,-0.003428251458203175,0.00385990428032369
-0.6279068825910932,-0.003764215895075868,0.003189185214978305
-0.6277818825910931,-0.003764215895075868,0.003859904280323995
-0.6276568825910932,-0.005780002516312022,0.004195263812996687
-0.6275318825910932,-0.006787895826931473,0.004530623345669684
-0.6274068825910931,-0.006787895826931015,0.004530623345669837
-0.6272818825910932,-0.005780002516313398,0.004865982878342377
-0.6271568825910931,-0.005108073642567248,0.004865982878342529
-0.6270318825910931,-0.004772109205693487,0.004865982878342529
-0.6269068825910932,-0.002756322584457333,0.004865982878342529
-0.6267818825910931,-0.004100180331948713,0.004865982878342529
-0.6266568825910932,-0.0007405359632217897,0.004865982878342529
-0.6265318825910932,0.006986646084855175,0.004530623345669684
-0.6264068825910931,0.004970859463617493,0.004195263812996992
-0.6262818825910932,0.003627001716127335,0.004530623345669531
-0.6261568825910931,0.004298930589872414,0.004530623345669684
-0.6260318825910931,0.003291037279253573,0.004530623345669684
-0.6259068825910932,0.002619108405508189,0.004530623345669684
-0.6257818825910931,0.001947179531762499,0.004530623345669684
-0.6256568825910932,0.002619108405507884,0.004530623345669684
-0.6255318825910932,0.001947179531762499,0.004865982878342529
-0.6254068825910931,0.0002673573473979676,0.004865982878342377
-0.6252818825910932,-0.0004045715263471115,0.004530623345669837
-0.6251568825910931,-0.001076500400093107,0.004530623345669684
-0.6250318825910931,-0.001412464836966258,0.004865982878342377
-0.6249068825910932,-0.002084393710711643,0.004530623345669684
-0.6247818825910931,-0.002084393710711643,0.004530623345669684
-0.6246568825910932,-0.003428251458202412,0.004865982878342377
-0.6245318825910932,-0.002756322584457333,0.004865982878342529
-0.6244068825910931,-0.003428251458202564,0.004865982878342529
-0.6242818825910932,-0.002420358147584946,0.004865982878342529
-0.6241568825910931,-0.002084393710711643,0.004530623345669684
-0.6240318825910931,-0.002420358147584793,0.004195263812996077
-0.6239068825910932,-0.003092287021330178,0.002518466149632616
-0.6237818825910931,-0.003092287021330178,0.003859904280323995
-0.6236568825910932,-0.003092287021330178,0.004530623345669379
-0.6235318825910932,-0.001748429273838797,0.003859904280323995
-0.6234068825910931,-0.001748429273839103,0.002853825682306071
-0.6232818825910932,-0.002420358147584182,0.00419526381299623
-0.6231568825910931,-0.003764215895075868,0.004195263812996839
-0.6230318825910931,-0.006115966953186089,0.00352454474765115
