#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B18F1D
#Date Time: 2026-07-09 06:22:02.100
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
0.03469109195402299,0.3170818213184912
0.034716091954023,0.3006195639117137
0.034741091954023,0.282813448757461
0.034766091954023,0.2639994402925817
0.034791091954023,0.2451854318277024
0.03481609195402299,0.2253635300522045
0.034841091954023,0.2055416282766981
0.034866091954023,0.1867276198118273
0.034891091954023,0.1689215046575665
0.034916091954023,0.1524592472507971
0.03494109195402299,0.1359969898440277
0.034966091954023,0.12054262574787
0.034991091954023,0.1054242260885988
0.035016091954023,0.08996986199244791
0.035041091954023,0.07350760458567851
0.03506609195402299,0.05670938274203625
0.035091091954023,0.03890326758776706
0.035116091954023,0.02042522355976898
0.035141091954023,0.001275250658016808
0.035166091954023,-0.01787472224373536
0.03519109195402299,-0.03668873070861469
0.035216091954023,-0.05583870361037526
0.035241091954023,-0.07431674763837334
0.035266091954023,-0.09313075610325267
0.035291091954023,-0.1116088001312592
0.03531609195402299,-0.1300868441592656
0.035341091954023,-0.1495727814978989
0.035366091954023,-0.1677148610890243
0.035391091954023,-0.1855209762432851
0.035416091954023,-0.2026551625238002
0.03544109195402299,-0.2187814554936967
0.035466091954023,-0.2352437129004732
0.035491091954023,-0.2506980769966171
0.035516091954023,-0.2671603344033864
0.035541091954023,-0.2853024139945201
0.03556609195402299,-0.3044523868962722
0.03559109195402299,-0.3262900752929973
0.035616091954023,-0.348463728126615
0.035641091954023,-0.3716452742708413
0.035666091954023,-0.3951627848519404
0.03569109195402299,-0.4170004732486753
0.03571609195402299,-0.4388381616454003
0.035741091954023,-0.4576521701102896
0.035766091954023,-0.4747863563908047
0.035791091954023,-0.4909126493607013
0.03581609195402299,-0.5053591201462335
0.03584109195402299,-0.5211494486792501
0.035866091954023,-0.5352599550279168
0.035891091954023,-0.5510502835609405
0.035916091954023,-0.5675125409677099
0.03594109195402299,-0.5836388339376065
0.03596609195402299,-0.6014449490918592
0.035991091954023,-0.6172352776248909
0.036016091954023,-0.6336975350316604
0.036041091954023,-0.6494878635646841
0.03606609195402299,-0.6646062632239621
0.03609109195402299,-0.6803965917569786
0.036116091954023,-0.6948430625425182
0.036141091954023,-0.7099614622017962
0.036166091954023,-0.7250798618610742
0.03619109195402299,-0.7391903682097337
0.03621609195402299,-0.7546447323058776
0.036241091954023,-0.7680833097807984
