#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B18F1D
#Date Time: 2026-07-09 05:31:01.912
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
0.09020249999999998,0.107104048272963
0.09022749999999999,0.1171829813791536
0.09025249999999999,0.1286057722328251
0.09027749999999998,0.1423803141446117
0.09030249999999998,0.1551469627457799
0.09032749999999998,0.1665697535994566
0.09035249999999999,0.1766486867056462
0.09037749999999999,0.1860556909380816
0.09040249999999998,0.1971425173548855
0.09042749999999998,0.2089012726454351
0.09045249999999998,0.2213319568097304
0.09047749999999999,0.2330907121002851
0.09050249999999999,0.2445135029539567
0.09052749999999998,0.2559362938076334
0.09055249999999998,0.2666871557875644
0.09057749999999998,0.2767660888937498
0.09060249999999999,0.2868450219999394
0.09062749999999999,0.2962520262323748
0.09065249999999998,0.3056590304648145
0.09067749999999998,0.3150660346972541
0.09070249999999998,0.3264888255509308
0.09072749999999999,0.3382475808414855
0.09075249999999999,0.3493344072582843
0.09077749999999998,0.3594133403644696
0.09080249999999998,0.3671405224125451
0.09082749999999998,0.3762115622081119
0.09085249999999999,0.3879703174986667
0.09087749999999999,0.3993931083523382
0.09090249999999998,0.4101439703322693
0.09092749999999998,0.417199223506599
0.09095249999999998,0.4242544766809287
0.09097749999999999,0.4336614809133736
0.09100249999999999,0.4450842717670452
0.09102749999999998,0.4578509203682133
0.09105249999999998,0.4679298534743986
0.09107749999999998,0.4756570355224741
0.09110249999999998,0.483384217570546
0.09112749999999999,0.4924552573661163
0.09115249999999998,0.504214012656666
0.09117749999999998,0.5146289101997241
0.09120249999999998,0.523699949995291
0.09122749999999998,0.5324350253539809
0.09125249999999999,0.5404981718389332
0.09127749999999998,0.5495692116345
0.09130249999999998,0.5576323581194483
0.09132749999999998,0.5650235757306509
0.09135249999999998,0.5734226866524683
0.09137749999999999,0.5811498687005475
0.09140249999999998,0.5912288018067329
0.09142749999999998,0.6002998416022997
0.09145249999999998,0.6090349169609937
0.09147749999999998,0.6167620990090655
0.09150249999999999,0.6224734944359074
0.09152749999999998,0.6278489254258729
0.09155249999999998,0.6318804986683471
0.09157749999999998,0.6365840007845669
0.09160249999999998,0.6433032895220208
0.09162749999999999,0.6500225782594807
0.09165249999999998,0.6597655469287932
0.09167749999999998,0.6681646578506144
0.09170249999999998,0.6758918398986898
0.09172749999999998,0.6829470930730163
0.09175249999999999,0.6869786663154936
0.09177749999999998,0.6926900617423321
0.09180249999999998,0.6977295282954247
0.09182749999999998,0.7041128525960088
0.09185249999999998,0.7118400346440806
0.09187749999999999,0.7175514300709226
0.09190249999999998,0.7235987899346338
0.09192749999999998,0.7266224698664894
0.09195249999999998,0.7299821142352179
0.09197749999999998,0.7350215807883081
0.09200249999999999,0.7393891184676575
0.09202749999999998,0.744764549457623
0.09205249999999998,0.7481241938263515
0.09207749999999998,0.7518198026319528
0.09210249999999998,0.758203126932534
0.09212749999999999,0.7639145223593752
0.09215249999999998,0.7709697755337049
0.09217749999999998,0.7739934554655605
0.09220249999999998,0.7760092420867977
0.09222749999999998,0.7793688864555245
0.09225249999999999,0.7830644952611274
0.09227749999999998,0.79045571287233
0.09230249999999998,0.7938153572410585
0.09232749999999998,0.7954951794254227
0.09235249999999998,0.797175001609786
0.09237749999999999,0.7981828949204054
0.09240249999999998,0.8032223614734981
0.09242749999999998,0.8065820058422265
0.09245249999999998,0.8096056857740821
0.09247749999999998,0.8116214723953192
0.09250249999999999,0.8109495435215736
0.09252749999999998,0.8122934012690649
0.09255249999999998,0.8126293657059377
0.09257749999999998,0.8143091878903019
0.09260249999999998,0.8166609389484119
0.09262749999999999,0.8169969033852847
0.09265249999999998,0.8190126900065218
0.09267749999999998,0.818676725569649
0.09270249999999998,0.8180047966959033
0.09272749999999998,0.8183407611327761
0.09275249999999999,0.8166609389484119
0.09277749999999998,0.8176688322590304
0.09280249999999998,0.8169969033852847
0.09282749999999998,0.8166609389484119
0.09285249999999998,0.8166609389484119
0.09287749999999999,0.8149811167640476
0.09290249999999999,0.8149811167640476
0.09292749999999998,0.8129653301428106
0.09295249999999998,0.811957436832192
0.09297749999999998,0.8109495435215736
0.09300249999999999,0.80826182802659
0.09302749999999999,0.8065820058422265
0.09305249999999998,0.8032223614734981
0.09307749999999998,0.8005346459785153
0.09310249999999998,0.7988548237941511
0.09312749999999999,0.7958311438622947
0.09315249999999999,0.7941513216779312
0.09317749999999998,0.79045571287233
0.09320249999999998,0.7867601040667287
0.09322749999999998,0.7840723885717459
0.09325249999999999,0.7800408153292705
0.09327749999999999,0.777353099834289
0.09330249999999998,0.7723136332811963
0.09332749999999998,0.7669382022912308
0.09335249999999998,0.7612268068643925
0.09337749999999999,0.7548434825638064
0.09340249999999999,0.7504759448844615
