#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B18F1D
#Date Time: 2026-07-09 21:19:59.572
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.06544270833333335,0.2791178399518734,-0.2406171950381655
-0.06541770833333332,0.2639994402925748,-0.2563790930738105
-0.06539270833333333,0.2488810406333037,-0.2718056315767544
-0.06536770833333333,0.2340986054108985,-0.2872321700797052
-0.06534270833333333,0.2183082768778747,-0.3016526299846375
-0.06531770833333334,0.2031898772185967,-0.3177498875529341
-0.06529270833333334,0.1870635842487075,-0.3331764260558779
-0.06526770833333334,0.1709372912788109,-0.3499444026895195
-0.06524270833333334,0.1548109983089143,-0.3663770197904891
-0.06521770833333335,0.1383487409021451,-0.3828096368914585
-0.06519270833333335,0.1215505190585106,-0.3999129730577655
-0.06516770833333332,0.1057601905254642,-0.4156748710934119
-0.06514270833333333,0.08929793311870221,-0.4314367691290285
-0.06511770833333333,0.07317164014880567,-0.447534026697325
-0.06509270833333333,0.05738131161578194,-0.4619544866022573
-0.06506770833333334,0.04091905420901253,-0.4773810251052081
-0.06504270833333334,0.0247927612391233,-0.4921368445428066
-0.06501770833333334,0.008330503832354043,-0.5072280235130845
-0.06499270833333334,-0.008131753574415368,-0.5223192024833625
-0.06496770833333335,-0.02425804654431208,-0.5364043028556225
-0.06494270833333335,-0.0410562683879464,-0.5518308413585657
-0.06491770833333332,-0.05751852579473841,-0.5659159417308459
-0.06489270833333333,-0.07364481876462764,-0.5806717611684444
-0.06486770833333333,-0.08943514729765137,-0.5950922210733767
-0.06484270833333333,-0.1052254758306751,-0.6088419619129634
-0.06481770833333333,-0.1210158043636988,-0.6232624218178957
-0.06479270833333334,-0.1368061328967153,-0.6370121626574761
-0.06476770833333334,-0.1522604969928664,-0.6507619034970628
-0.06474270833333334,-0.1677148610890172,-0.6648470038693219
-0.06471770833333335,-0.1831692251851681,-0.677255306578218
-0.06469270833333335,-0.1989595537181845,-0.6906696878851253
-0.06466770833333332,-0.2137419889406111,-0.7027426310613653
-0.06464270833333333,-0.2291963530367549,-0.7148155742375822
-0.06461770833333333,-0.2446507171329058,-0.7272238769464775
-0.06459270833333333,-0.2601050812290567,-0.7386261010573543
-0.06456770833333333,-0.2762313741989533,-0.7517051228315952
-0.06454270833333334,-0.2920217027319698,-0.7634427064751395
-0.06451770833333334,-0.3081479957018662,-0.7758510091840344
-0.06449270833333334,-0.3249462175455081,-0.7875885928275842
-0.06446770833333335,-0.3407365460785324,-0.7976493788077703
-0.06444270833333335,-0.3575347679221665,-0.8080455243206237
-0.06441770833333335,-0.3729891320183186,-0.8144173554414114
-0.06439270833333333,-0.3881075316776107,-0.8201184674968555
-0.06436770833333333,-0.4032259313368887,-0.823472062823584
-0.06434270833333333,-0.4173364376855482,-0.8241427818889296
-0.06431770833333333,-0.4317829084710805,-0.8244781414216025
-0.06429270833333334,-0.4452214859459883,-0.8224659842255663
-0.06426770833333334,-0.4589960278577747,-0.820789186562202
-0.06424270833333334,-0.4737784630801795,-0.8194477484315104
-0.06421770833333335,-0.4875530049919666,-0.817100231702801
-0.06419270833333335,-0.5026714046512371,-0.8160941531047823
-0.06416770833333335,-0.51711787543677,-0.8140819959087461
-0.06414270833333333,-0.5308924173485697,-0.81240519824538
-0.06411770833333333,-0.5460108170078478,-0.8117344791800344
-0.06409270833333333,-0.5591134300458888,-0.8093869624513245
-0.06406770833333333,-0.5735599008314212,-0.808380883853306
-0.06404270833333334,-0.5873344427432016,-0.8060333671245972
-0.06401770833333334,-0.6004370557812427,-0.8040212099285599
-0.06399270833333334,-0.6142115976930291,-0.8030151313305409
-0.06396770833333335,-0.626642281857325,-0.7999968955364861
-0.06394270833333335,-0.6404168237691047,-0.7996615360038123
-0.06391770833333335,-0.6528475079334012,-0.7973140192751041
-0.06389270833333333,-0.6652781920977078,-0.7956372216117379
-0.06386770833333333,-0.6780448406988759,-0.7946311430137193
-0.06384270833333333,-0.6894676315525526,-0.7922836262850094
